epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1075.47,0.68015,0.35413,0.83651,0.99393,1,0.995,0.75414,0.99195,0.37685,0.9142,0.000370014,0.000370014,0.000370014
116,1084.22,0.69463,0.37409,0.8331,0.9926,1,0.995,0.77193,0.94513,0.36196,0.90846,0.00035938,0.00035938,0.00035938
117,1093.51,0.69063,0.35808,0.84737,0.99171,1,0.995,0.7661,0.99469,0.38233,0.9186,0.00034899,0.00034899,0.00034899
118,1102.92,0.68606,0.37256,0.84446,0.99071,1,0.995,0.76818,0.9628,0.37719,0.91508,0.000338849,0.000338849,0.000338849
119,1112.37,0.68029,0.36691,0.82902,0.9886,1,0.995,0.79362,0.93056,0.37314,0.91133,0.000328962,0.000328962,0.000328962
120,1121.49,0.68321,0.35889,0.83396,0.98814,1,0.995,0.77776,0.93557,0.37593,0.90934,0.000319333,0.000319333,0.000319333
121,1130.79,0.69501,0.36382,0.85523,0.98957,1,0.995,0.77546,0.95331,0.37406,0.91155,0.000309966,0.000309966,0.000309966
122,1140.41,0.71593,0.36085,0.83518,0.99254,1,0.995,0.76789,0.95487,0.37107,0.91547,0.000300865,0.000300865,0.000300865
123,1149.33,0.7033,0.35614,0.84673,0.99479,1,0.995,0.78114,0.92463,0.36319,0.91369,0.000292034,0.000292034,0.000292034
124,1158.97,0.68778,0.34903,0.84805,0.99418,1,0.995,0.77115,0.90803,0.3432,0.91117,0.000283477,0.000283477,0.000283477
125,1168.49,0.6684,0.35162,0.83911,0.98733,1,0.995,0.76269,0.94866,0.36116,0.91961,0.000275199,0.000275199,0.000275199
126,1177.64,0.65453,0.3434,0.83659,0.98357,1,0.995,0.75398,0.98676,0.38003,0.92902,0.000267201,0.000267201,0.000267201
127,1186.74,0.67175,0.35479,0.84347,0.98546,1,0.995,0.77053,0.96876,0.37345,0.92157,0.000259489,0.000259489,0.000259489
128,1196.32,0.66613,0.36121,0.83703,0.987,1,0.995,0.77811,0.91811,0.3695,0.90907,0.000252064,0.000252064,0.000252064
129,1206.11,0.65399,0.35606,0.83453,0.99007,1,0.995,0.77785,0.94683,0.36231,0.9107,0.000244932,0.000244932,0.000244932
130,1214.99,0.68239,0.35836,0.83587,0.99201,1,0.995,0.77103,0.98204,0.36059,0.91705,0.000238094,0.000238094,0.000238094
131,1224.5,0.67244,0.34052,0.83339,0.9907,1,0.995,0.7804,0.92554,0.35571,0.90893,0.000231554,0.000231554,0.000231554
132,1233.81,0.64222,0.34668,0.83547,0.98524,1,0.995,0.79407,0.88789,0.35565,0.90287,0.000225314,0.000225314,0.000225314
133,1243.06,0.657,0.33457,0.84031,0.97956,1,0.995,0.77491,0.94454,0.38059,0.91441,0.000219378,0.000219378,0.000219378
134,1252.59,0.65593,0.33438,0.83206,0.97594,0.99806,0.995,0.75607,0.99283,0.40234,0.9257,0.000213748,0.000213748,0.000213748
135,1261.97,0.68402,0.34799,0.83335,0.98226,1,0.995,0.76078,0.96378,0.38963,0.92247,0.000208426,0.000208426,0.000208426
136,1271.42,0.66237,0.34389,0.83388,0.98997,1,0.995,0.76916,0.90628,0.36698,0.91374,0.000203415,0.000203415,0.000203415
137,1280.32,0.67436,0.33996,0.8362,0.99169,1,0.995,0.78496,0.90346,0.36725,0.91344,0.000198717,0.000198717,0.000198717
138,1289.85,0.67343,0.36,0.84343,0.98693,1,0.995,0.77163,0.93375,0.37653,0.91866,0.000194334,0.000194334,0.000194334
